"","Disease","Date","State","Cases","Rates"
"98","COVID-19",2020-09-30,"South Australia",10,0.6
"99","COVID-19",2020-08-31,"South Australia",9,0.5
"100","COVID-19",2020-07-31,"South Australia",11,0.6
"101","COVID-19",2020-06-30,"South Australia",3,0.2
"102","COVID-19",2020-05-31,"South Australia",1,0.1
"103","COVID-19",2020-04-30,"South Australia",23,1.3
"104","COVID-19",2020-03-31,"South Australia",410,23.4
"105","COVID-19",2020-02-29,"South Australia",4,0.2
"106","COVID-19",2020-01-31,"South Australia",2,0.1
"107","COVID-19",2019-12-31,"South Australia",0,0
"108","COVID-19",2019-11-30,"South Australia",0,0
"109","COVID-19",2019-10-31,"South Australia",0,0
"110","COVID-19",2019-09-30,"South Australia",0,0
"111","COVID-19",2019-08-31,"South Australia",0,0
"112","COVID-19",2019-07-31,"South Australia",0,0
"113","COVID-19",2019-06-30,"South Australia",0,0
"114","COVID-19",2019-05-31,"South Australia",0,0
"115","COVID-19",2019-04-30,"South Australia",0,0
"116","COVID-19",2019-03-31,"South Australia",0,0
"117","COVID-19",2019-02-28,"South Australia",0,0
"118","COVID-19",2019-01-31,"South Australia",0,0
"119","COVID-19",2018-12-31,"South Australia",0,0
"120","COVID-19",2018-11-30,"South Australia",0,0
"121","COVID-19",2020-10-31,"Tasmania",0,0
"122","COVID-19",2020-09-30,"Tasmania",0,0
"123","COVID-19",2020-08-31,"Tasmania",1,0.2
"124","COVID-19",2020-07-31,"Tasmania",1,0.2
"125","COVID-19",2020-06-30,"Tasmania",0,0
"126","COVID-19",2020-05-31,"Tasmania",1,0.2
"127","COVID-19",2020-04-30,"Tasmania",143,26.7
"128","COVID-19",2020-03-31,"Tasmania",87,16.3
"129","COVID-19",2020-02-29,"Tasmania",2,0.4
"130","COVID-19",2020-01-31,"Tasmania",0,0
"131","COVID-19",2019-12-31,"Tasmania",0,0
"132","COVID-19",2019-11-30,"Tasmania",0,0
"133","COVID-19",2019-10-31,"Tasmania",0,0
"134","COVID-19",2019-09-30,"Tasmania",0,0
"135","COVID-19",2019-08-31,"Tasmania",0,0
"136","COVID-19",2019-07-31,"Tasmania",0,0
"137","COVID-19",2019-06-30,"Tasmania",0,0
"138","COVID-19",2019-05-31,"Tasmania",0,0
"139","COVID-19",2019-04-30,"Tasmania",0,0
"140","COVID-19",2019-03-31,"Tasmania",0,0
"141","COVID-19",2019-02-28,"Tasmania",0,0
"142","COVID-19",2019-01-31,"Tasmania",0,0
"143","COVID-19",2018-12-31,"Tasmania",0,0
"144","COVID-19",2018-11-30,"Tasmania",0,0
"145","COVID-19",2020-10-31,"Victoria",155,2.4
"146","COVID-19",2020-09-30,"Victoria",900,13.6
"147","COVID-19",2020-08-31,"Victoria",6952,105.4
"148","COVID-19",2020-07-31,"Victoria",9727,147.5
"149","COVID-19",2020-06-30,"Victoria",936,14.2
"150","COVID-19",2020-05-31,"Victoria",256,3.9
"151","COVID-19",2020-04-30,"Victoria",191,2.9
"152","COVID-19",2020-03-31,"Victoria",1209,18.3
"153","COVID-19",2020-02-29,"Victoria",15,0.2
"154","COVID-19",2020-01-31,"Victoria",4,0.1
"155","COVID-19",2019-12-31,"Victoria",0,0
"156","COVID-19",2019-11-30,"Victoria",0,0
"157","COVID-19",2019-10-31,"Victoria",0,0
"158","COVID-19",2019-09-30,"Victoria",0,0
"159","COVID-19",2019-08-31,"Victoria",0,0
"160","COVID-19",2019-07-31,"Victoria",0,0
"161","COVID-19",2019-06-30,"Victoria",0,0
"162","COVID-19",2019-05-31,"Victoria",0,0
"163","COVID-19",2019-04-30,"Victoria",0,0
"164","COVID-19",2019-03-31,"Victoria",0,0
"165","COVID-19",2019-02-28,"Victoria",0,0
"166","COVID-19",2019-01-31,"Victoria",0,0
